date,open,high,low,close,volume,bar_count,wap,has_gaps
20100720  10:34:30,20290.0,20298.0,20286.0,20296.0,0,12,0.0,0
20100720  10:35:00,20298.0,20300.0,20295.0,20295.0,0,8,0.0,0
20100720  10:35:30,20297.0,20326.0,20297.0,20326.0,0,26,0.0,0
20100720  10:36:00,20327.0,20327.0,20319.0,20324.0,0,10,0.0,0
20100720  10:36:30,20323.0,20329.0,20319.0,20327.0,0,15,0.0,0
20100720  10:37:00,20325.0,20328.0,20318.0,20322.0,0,12,0.0,0
20100720  10:37:30,20319.0,20321.0,20314.0,20315.0,0,8,0.0,0
20100720  10:38:00,20313.0,20316.0,20309.0,20315.0,0,12,0.0,0
20100720  10:38:30,20316.0,20319.0,20313.0,20313.0,0,6,0.0,0
20100720  10:39:00,20315.0,20338.0,20315.0,20337.0,0,21,0.0,0
20100720  10:39:30,20335.0,20342.0,20335.0,20340.0,0,8,0.0,0
20100720  10:40:00,20339.0,20341.0,20335.0,20337.0,0,8,0.0,0
20100720  10:40:30,20335.0,20335.0,20330.0,20330.0,0,4,0.0,0
20100720  10:41:00,20327.0,20329.0,20327.0,20329.0,0,6,0.0,0
20100720  10:41:30,20327.0,20329.0,20322.0,20322.0,0,17,0.0,0
20100720  10:42:00,20321.0,20322.0,20316.0,20316.0,0,6,0.0,0
20100720  10:42:30,20319.0,20319.0,20310.0,20310.0,0,9,0.0,0
20100720  10:43:00,20313.0,20313.0,20307.0,20307.0,0,10,0.0,0
20100720  10:43:30,20305.0,20305.0,20299.0,20302.0,0,12,0.0,0
20100720  10:44:00,20300.0,20305.0,20293.0,20293.0,0,19,0.0,0
20100720  10:44:30,20291.0,20292.0,20287.0,20289.0,0,7,0.0,0
20100720  10:45:00,20290.0,20290.0,20288.0,20290.0,0,5,0.0,0
20100720  10:45:30,20288.0,20296.0,20288.0,20296.0,0,12,0.0,0
20100720  10:46:00,20294.0,20295.0,20290.0,20295.0,0,14,0.0,0
20100720  10:46:30,20294.0,20297.0,20290.0,20290.0,0,13,0.0,0
20100720  10:47:00,20292.0,20296.0,20288.0,20288.0,0,9,0.0,0
20100720  10:47:30,20291.0,20293.0,20283.0,20285.0,0,12,0.0,0
20100720  10:48:00,20288.0,20291.0,20286.0,20288.0,0,7,0.0,0
20100720  10:48:30,20290.0,20290.0,20285.0,20287.0,0,5,0.0,0
20100720  10:49:00,20288.0,20290.0,20286.0,20290.0,0,10,0.0,0
20100720  10:49:30,20288.0,20289.0,20286.0,20288.0,0,7,0.0,0
20100720  10:50:00,20289.0,20295.0,20289.0,20290.0,0,5,0.0,0
20100720  10:50:30,20287.0,20292.0,20286.0,20292.0,0,9,0.0,0
20100720  10:51:00,20290.0,20290.0,20283.0,20289.0,0,12,0.0,0
20100720  10:51:30,20286.0,20286.0,20275.0,20275.0,0,12,0.0,0
20100720  10:52:00,20277.0,20283.0,20273.0,20275.0,0,10,0.0,0
20100720  10:52:30,20279.0,20281.0,20275.0,20275.0,0,4,0.0,0
20100720  10:53:00,20278.0,20279.0,20276.0,20276.0,0,6,0.0,0
20100720  10:53:30,20277.0,20279.0,20268.0,20272.0,0,11,0.0,0
20100720  10:54:00,20275.0,20281.0,20275.0,20281.0,0,5,0.0,0
20100720  10:54:30,20278.0,20280.0,20276.0,20280.0,0,8,0.0,0
20100720  10:55:00,20278.0,20278.0,20275.0,20278.0,0,5,0.0,0
20100720  10:55:30,20280.0,20282.0,20278.0,20278.0,0,4,0.0,0
20100720  10:56:00,20281.0,20283.0,20276.0,20276.0,0,7,0.0,0
20100720  10:56:30,20275.0,20278.0,20274.0,20274.0,0,6,0.0,0
20100720  10:57:00,20277.0,20278.0,20277.0,20278.0,0,2,0.0,0
20100720  10:57:30,20276.0,20276.0,20272.0,20274.0,0,6,0.0,0
20100720  10:58:00,20273.0,20273.0,20271.0,20271.0,0,6,0.0,0
20100720  10:58:30,20274.0,20275.0,20269.0,20275.0,0,6,0.0,0
20100720  10:59:00,20273.0,20277.0,20273.0,20273.0,0,5,0.0,0
20100720  10:59:30,20272.0,20274.0,20272.0,20274.0,0,4,0.0,0
20100720  11:00:00,20276.0,20278.0,20276.0,20277.0,0,6,0.0,0
20100720  11:00:30,20275.0,20276.0,20273.0,20276.0,0,6,0.0,0
20100720  11:01:00,20275.0,20278.0,20274.0,20275.0,0,7,0.0,0
20100720  11:01:30,20278.0,20281.0,20278.0,20279.0,0,3,0.0,0
20100720  11:02:00,20281.0,20283.0,20279.0,20283.0,0,4,0.0,0
20100720  11:02:30,20281.0,20281.0,20276.0,20276.0,0,3,0.0,0
20100720  11:03:00,20279.0,20279.0,20277.0,20279.0,0,3,0.0,0
20100720  11:03:30,20276.0,20283.0,20276.0,20283.0,0,6,0.0,0
20100720  11:04:00,20280.0,20280.0,20274.0,20274.0,0,4,0.0,0
20100720  11:04:30,20272.0,20275.0,20267.0,20272.0,0,11,0.0,0
20100720  11:05:00,20274.0,20276.0,20269.0,20269.0,0,9,0.0,0
20100720  11:05:30,20267.0,20269.0,20263.0,20269.0,0,12,0.0,0
20100720  11:06:00,20272.0,20277.0,20272.0,20273.0,0,6,0.0,0
20100720  11:06:30,20274.0,20280.0,20274.0,20280.0,0,12,0.0,0
20100720  11:07:00,20278.0,20283.0,20278.0,20283.0,0,5,0.0,0
20100720  11:07:30,20284.0,20284.0,20282.0,20282.0,0,2,0.0,0
20100720  11:08:00,20280.0,20283.0,20278.0,20283.0,0,4,0.0,0
20100720  11:08:30,20281.0,20285.0,20279.0,20280.0,0,12,0.0,0
20100720  11:09:00,20282.0,20282.0,20280.0,20280.0,0,2,0.0,0
20100720  11:09:30,20278.0,20283.0,20278.0,20283.0,0,3,0.0,0
20100720  11:10:00,20281.0,20281.0,20273.0,20276.0,0,9,0.0,0
20100720  11:10:30,20274.0,20277.0,20268.0,20273.0,0,7,0.0,0
20100720  11:11:00,20274.0,20274.0,20270.0,20272.0,0,4,0.0,0
20100720  11:11:30,20270.0,20274.0,20268.0,20271.0,0,6,0.0,0
20100720  11:12:00,20273.0,20273.0,20269.0,20269.0,0,3,0.0,0
20100720  11:12:30,20271.0,20277.0,20270.0,20276.0,0,7,0.0,0
20100720  11:13:00,20274.0,20280.0,20272.0,20280.0,0,11,0.0,0
20100720  11:13:30,20277.0,20279.0,20274.0,20276.0,0,6,0.0,0
20100720  11:14:00,20278.0,20280.0,20276.0,20280.0,0,8,0.0,0
20100720  11:14:30,20277.0,20281.0,20276.0,20278.0,0,7,0.0,0
20100720  11:15:00,20282.0,20287.0,20282.0,20287.0,0,5,0.0,0
20100720  11:15:30,20289.0,20298.0,20289.0,20298.0,0,10,0.0,0
20100720  11:16:00,20299.0,20301.0,20298.0,20298.0,0,4,0.0,0
20100720  11:16:30,20296.0,20300.0,20296.0,20300.0,0,3,0.0,0
20100720  11:17:00,20298.0,20298.0,20296.0,20296.0,0,2,0.0,0
20100720  11:17:30,20294.0,20298.0,20289.0,20295.0,0,8,0.0,0
20100720  11:18:00,20294.0,20297.0,20294.0,20296.0,0,3,0.0,0
20100720  11:18:30,20297.0,20297.0,20289.0,20294.0,0,10,0.0,0
20100720  11:19:00,20294.0,20294.0,20294.0,20294.0,0,1,0.0,0
20100720  11:19:30,20296.0,20297.0,20294.0,20296.0,0,5,0.0,0
20100720  11:20:00,20293.0,20293.0,20287.0,20292.0,0,9,0.0,0
20100720  11:20:30,20294.0,20295.0,20290.0,20294.0,0,9,0.0,0
20100720  11:21:00,20292.0,20295.0,20290.0,20290.0,0,11,0.0,0
20100720  11:21:30,20293.0,20293.0,20290.0,20290.0,0,3,0.0,0
20100720  11:22:00,20288.0,20288.0,20288.0,20288.0,0,1,0.0,0
20100720  11:22:30,20290.0,20292.0,20290.0,20292.0,0,2,0.0,0
20100720  11:23:00,20292.0,20292.0,20292.0,20292.0,0,1,0.0,0
20100720  11:23:30,20290.0,20295.0,20288.0,20295.0,0,5,0.0,0
20100720  11:24:00,20293.0,20294.0,20291.0,20294.0,0,4,0.0,0
20100720  11:24:30,20292.0,20297.0,20292.0,20295.0,0,4,0.0,0
20100720  11:25:00,20293.0,20295.0,20291.0,20291.0,0,4,0.0,0
20100720  11:25:30,20293.0,20293.0,20293.0,20293.0,0,1,0.0,0
20100720  11:26:00,20296.0,20296.0,20294.0,20294.0,0,2,0.0,0
20100720  11:26:30,20296.0,20300.0,20296.0,20298.0,0,4,0.0,0
20100720  11:27:00,20300.0,20304.0,20297.0,20297.0,0,6,0.0,0
20100720  11:27:30,20294.0,20303.0,20294.0,20303.0,0,7,0.0,0
20100720  11:28:00,20301.0,20311.0,20301.0,20311.0,0,11,0.0,0
20100720  11:28:30,20312.0,20314.0,20309.0,20309.0,0,7,0.0,0
20100720  11:29:00,20311.0,20315.0,20311.0,20313.0,0,4,0.0,0
20100720  11:29:30,20315.0,20320.0,20315.0,20318.0,0,4,0.0,0
20100720  11:30:00,20320.0,20326.0,20320.0,20324.0,0,7,0.0,0
20100720  11:30:30,20326.0,20327.0,20325.0,20325.0,0,4,0.0,0
20100720  11:31:00,20327.0,20331.0,20325.0,20328.0,0,7,0.0,0
20100720  11:31:30,20331.0,20333.0,20331.0,20333.0,0,2,0.0,0
20100720  11:32:00,20331.0,20334.0,20329.0,20332.0,0,7,0.0,0
20100720  11:32:30,20329.0,20331.0,20327.0,20329.0,0,9,0.0,0
20100720  11:33:00,20327.0,20327.0,20325.0,20327.0,0,3,0.0,0
20100720  11:33:30,20329.0,20333.0,20328.0,20328.0,0,8,0.0,0
20100720  11:34:00,20326.0,20330.0,20326.0,20330.0,0,3,0.0,0
20100720  11:34:30,20327.0,20334.0,20327.0,20328.0,0,6,0.0,0
20100720  11:35:00,20330.0,20334.0,20330.0,20334.0,0,3,0.0,0
20100720  11:35:30,20330.0,20332.0,20329.0,20329.0,0,5,0.0,0
20100720  11:36:00,20328.0,20347.0,20328.0,20347.0,0,12,0.0,0
20100720  11:36:30,20348.0,20360.0,20345.0,20360.0,0,15,0.0,0
20100720  11:37:00,20361.0,20375.0,20361.0,20375.0,0,11,0.0,0
20100720  11:37:30,20373.0,20390.0,20371.0,20390.0,0,21,0.0,0
20100720  11:38:00,20392.0,20398.0,20390.0,20396.0,0,14,0.0,0
20100720  11:38:30,20398.0,20398.0,20392.0,20397.0,0,12,0.0,0
20100720  11:39:00,20399.0,20404.0,20399.0,20404.0,0,3,0.0,0
20100720  11:39:30,20407.0,20407.0,20400.0,20402.0,0,5,0.0,0
20100720  11:40:00,20400.0,20402.0,20394.0,20397.0,0,13,0.0,0
20100720  11:40:30,20399.0,20401.0,20396.0,20396.0,0,6,0.0,0
20100720  11:41:00,20394.0,20397.0,20388.0,20388.0,0,7,0.0,0
20100720  11:41:30,20386.0,20388.0,20381.0,20381.0,0,6,0.0,0
20100720  11:42:00,20379.0,20381.0,20373.0,20376.0,0,12,0.0,0
20100720  11:42:30,20378.0,20378.0,20372.0,20372.0,0,4,0.0,0
20100720  11:43:00,20374.0,20376.0,20369.0,20371.0,0,6,0.0,0
20100720  11:43:30,20369.0,20372.0,20366.0,20367.0,0,7,0.0,0
20100720  11:44:00,20369.0,20369.0,20368.0,20368.0,0,2,0.0,0
20100720  11:44:30,20369.0,20380.0,20369.0,20380.0,0,5,0.0,0
20100720  11:45:00,20376.0,20378.0,20374.0,20374.0,0,6,0.0,0
20100720  11:45:30,20376.0,20376.0,20373.0,20375.0,0,5,0.0,0
20100720  11:46:00,20373.0,20378.0,20373.0,20378.0,0,3,0.0,0
20100720  11:46:30,20377.0,20379.0,20374.0,20375.0,0,5,0.0,0
20100720  11:47:00,20377.0,20379.0,20372.0,20372.0,0,6,0.0,0
20100720  11:47:30,20376.0,20376.0,20369.0,20369.0,0,6,0.0,0
20100720  11:48:00,20371.0,20378.0,20371.0,20378.0,0,4,0.0,0
20100720  11:48:30,20379.0,20394.0,20379.0,20394.0,0,13,0.0,0
20100720  11:49:00,20392.0,20397.0,20390.0,20394.0,0,14,0.0,0
20100720  11:49:30,20392.0,20396.0,20392.0,20396.0,0,5,0.0,0
20100720  11:50:00,20394.0,20396.0,20392.0,20392.0,0,6,0.0,0
20100720  11:50:30,20394.0,20396.0,20390.0,20392.0,0,7,0.0,0
20100720  11:51:00,20391.0,20393.0,20387.0,20393.0,0,5,0.0,0
20100720  11:51:30,20397.0,20399.0,20391.0,20392.0,0,9,0.0,0
20100720  11:52:00,20393.0,20393.0,20391.0,20391.0,0,4,0.0,0
20100720  11:52:30,20393.0,20393.0,20386.0,20387.0,0,9,0.0,0
20100720  11:53:00,20385.0,20388.0,20385.0,20386.0,0,4,0.0,0
20100720  11:53:30,20384.0,20386.0,20377.0,20377.0,0,7,0.0,0
20100720  11:54:00,20380.0,20382.0,20379.0,20379.0,0,3,0.0,0
20100720  11:54:30,20381.0,20381.0,20375.0,20378.0,0,5,0.0,0
20100720  11:55:00,20375.0,20376.0,20375.0,20375.0,0,3,0.0,0
20100720  11:55:30,20378.0,20379.0,20375.0,20377.0,0,5,0.0,0
20100720  11:56:00,20374.0,20376.0,20371.0,20373.0,0,8,0.0,0
20100720  11:56:30,20371.0,20375.0,20371.0,20375.0,0,3,0.0,0
20100720  11:57:00,20371.0,20375.0,20371.0,20375.0,0,3,0.0,0
20100720  11:57:30,20377.0,20377.0,20371.0,20371.0,0,6,0.0,0
20100720  11:58:00,20369.0,20371.0,20369.0,20369.0,0,3,0.0,0
20100720  11:58:30,20370.0,20382.0,20370.0,20382.0,0,10,0.0,0
20100720  11:59:00,20380.0,20380.0,20373.0,20377.0,0,5,0.0,0
20100720  11:59:30,20373.0,20381.0,20373.0,20379.0,0,5,0.0,0
20100720  12:00:00,20377.0,20377.0,20373.0,20376.0,0,4,0.0,0
20100720  12:00:30,20372.0,20378.0,20372.0,20376.0,0,5,0.0,0
20100720  12:01:00,20374.0,20378.0,20374.0,20376.0,0,4,0.0,0
20100720  12:01:30,20378.0,20378.0,20373.0,20377.0,0,7,0.0,0
20100720  12:02:00,20374.0,20376.0,20370.0,20370.0,0,4,0.0,0
20100720  12:02:30,20368.0,20371.0,20367.0,20371.0,0,4,0.0,0
20100720  12:03:00,20374.0,20381.0,20374.0,20374.0,0,12,0.0,0
20100720  12:03:30,20376.0,20382.0,20367.0,20379.0,0,14,0.0,0
20100720  12:04:00,20377.0,20379.0,20375.0,20379.0,0,3,0.0,0
20100720  12:04:30,20377.0,20385.0,20375.0,20385.0,0,6,0.0,0
20100720  12:05:00,20387.0,20387.0,20379.0,20379.0,0,5,0.0,0
20100720  12:05:30,20378.0,20380.0,20378.0,20378.0,0,3,0.0,0
20100720  12:06:00,20380.0,20380.0,20376.0,20376.0,0,3,0.0,0
20100720  12:06:30,20374.0,20374.0,20372.0,20374.0,0,3,0.0,0
20100720  12:07:00,20372.0,20381.0,20372.0,20381.0,0,5,0.0,0
20100720  12:07:30,20383.0,20393.0,20383.0,20387.0,0,10,0.0,0
20100720  12:08:00,20385.0,20390.0,20385.0,20388.0,0,4,0.0,0
20100720  12:08:30,20385.0,20385.0,20382.0,20382.0,0,4,0.0,0
20100720  12:09:00,20386.0,20393.0,20385.0,20393.0,0,8,0.0,0
20100720  12:09:30,20395.0,20411.0,20395.0,20409.0,0,17,0.0,0
20100720  12:10:00,20412.0,20414.0,20405.0,20405.0,0,11,0.0,0
20100720  12:10:30,20402.0,20406.0,20400.0,20402.0,0,6,0.0,0
20100720  12:11:00,20404.0,20404.0,20404.0,20404.0,0,1,0.0,0
20100720  12:11:30,20403.0,20403.0,20401.0,20401.0,0,4,0.0,0
20100720  12:12:00,20398.0,20400.0,20396.0,20400.0,0,5,0.0,0
20100720  12:12:30,20403.0,20403.0,20397.0,20397.0,0,3,0.0,0
20100720  12:13:00,20395.0,20398.0,20393.0,20394.0,0,6,0.0,0
20100720  12:13:30,20392.0,20394.0,20392.0,20393.0,0,3,0.0,0
20100720  12:14:00,20390.0,20392.0,20386.0,20386.0,0,5,0.0,0
20100720  12:14:30,20384.0,20387.0,20384.0,20385.0,0,3,0.0,0
20100720  12:15:00,20386.0,20387.0,20384.0,20386.0,0,7,0.0,0
20100720  12:15:30,20386.0,20386.0,20386.0,20386.0,0,1,0.0,0
20100720  12:16:00,20385.0,20385.0,20382.0,20382.0,0,2,0.0,0
20100720  12:16:30,20384.0,20384.0,20378.0,20381.0,0,6,0.0,0
20100720  12:17:00,20380.0,20383.0,20378.0,20382.0,0,6,0.0,0
20100720  12:17:30,20380.0,20382.0,20380.0,20380.0,0,3,0.0,0
20100720  12:18:00,20383.0,20383.0,20379.0,20379.0,0,3,0.0,0
20100720  12:18:30,20382.0,20382.0,20380.0,20380.0,0,2,0.0,0
20100720  12:19:00,20382.0,20384.0,20380.0,20380.0,0,4,0.0,0
20100720  12:19:30,20378.0,20380.0,20376.0,20378.0,0,5,0.0,0
20100720  12:20:00,20380.0,20380.0,20375.0,20377.0,0,5,0.0,0
20100720  12:20:30,20378.0,20381.0,20376.0,20381.0,0,5,0.0,0
20100720  12:21:00,20379.0,20381.0,20379.0,20381.0,0,2,0.0,0
20100720  12:21:30,20383.0,20390.0,20383.0,20390.0,0,4,0.0,0
20100720  12:22:00,20388.0,20391.0,20386.0,20391.0,0,5,0.0,0
20100720  12:22:30,20389.0,20389.0,20383.0,20383.0,0,5,0.0,0
20100720  12:23:00,20382.0,20388.0,20382.0,20386.0,0,6,0.0,0
20100720  12:23:30,20388.0,20390.0,20388.0,20388.0,0,3,0.0,0
20100720  12:24:00,20386.0,20386.0,20380.0,20382.0,0,7,0.0,0
20100720  12:24:30,20384.0,20386.0,20382.0,20382.0,0,4,0.0,0
20100720  12:25:00,20384.0,20388.0,20379.0,20379.0,0,6,0.0,0
20100720  12:25:30,20377.0,20383.0,20377.0,20383.0,0,4,0.0,0
20100720  12:26:00,20381.0,20383.0,20381.0,20383.0,0,2,0.0,0
20100720  12:26:30,20381.0,20381.0,20378.0,20378.0,0,6,0.0,0
20100720  12:27:00,20380.0,20380.0,20376.0,20376.0,0,7,0.0,0
20100720  12:27:30,20374.0,20377.0,20369.0,20369.0,0,6,0.0,0
20100720  12:28:00,20371.0,20371.0,20369.0,20370.0,0,4,0.0,0
20100720  12:28:30,20371.0,20377.0,20367.0,20367.0,0,13,0.0,0
20100720  12:29:00,20369.0,20373.0,20367.0,20371.0,0,8,0.0,0
20100720  12:29:30,20368.0,20378.0,20368.0,20377.0,0,22,0.0,0
20100720  14:30:00,20375.0,20390.0,20375.0,20386.0,0,45,0.0,0
20100720  14:30:30,20389.0,20398.0,20386.0,20398.0,0,17,0.0,0
20100720  14:31:00,20396.0,20397.0,20393.0,20393.0,0,6,0.0,0
20100720  14:31:30,20394.0,20394.0,20389.0,20390.0,0,9,0.0,0
20100720  14:32:00,20392.0,20392.0,20388.0,20390.0,0,8,0.0,0
20100720  14:32:30,20392.0,20392.0,20387.0,20387.0,0,4,0.0,0
20100720  14:33:00,20390.0,20390.0,20385.0,20386.0,0,8,0.0,0
20100720  14:33:30,20383.0,20387.0,20379.0,20381.0,0,9,0.0,0
20100720  14:34:00,20384.0,20384.0,20374.0,20374.0,0,10,0.0,0
20100720  14:34:30,20378.0,20379.0,20376.0,20379.0,0,6,0.0,0
20100720  14:35:00,20377.0,20379.0,20371.0,20371.0,0,9,0.0,0
20100720  14:35:30,20369.0,20372.0,20361.0,20361.0,0,11,0.0,0
20100720  14:36:00,20363.0,20365.0,20359.0,20361.0,0,7,0.0,0
20100720  14:36:30,20359.0,20362.0,20356.0,20356.0,0,10,0.0,0
20100720  14:37:00,20358.0,20358.0,20351.0,20351.0,0,6,0.0,0
20100720  14:37:30,20348.0,20351.0,20348.0,20349.0,0,9,0.0,0
20100720  14:38:00,20348.0,20348.0,20348.0,20348.0,0,1,0.0,0
20100720  14:38:30,20345.0,20355.0,20345.0,20355.0,0,6,0.0,0
20100720  14:39:00,20354.0,20356.0,20351.0,20352.0,0,9,0.0,0
20100720  14:39:30,20354.0,20355.0,20351.0,20353.0,0,6,0.0,0
20100720  14:40:00,20355.0,20358.0,20350.0,20354.0,0,9,0.0,0
20100720  14:40:30,20352.0,20356.0,20352.0,20354.0,0,6,0.0,0
20100720  14:41:00,20355.0,20358.0,20353.0,20356.0,0,8,0.0,0
20100720  14:41:30,20354.0,20355.0,20351.0,20351.0,0,6,0.0,0
20100720  14:42:00,20349.0,20352.0,20346.0,20348.0,0,8,0.0,0
20100720  14:42:30,20350.0,20350.0,20346.0,20348.0,0,8,0.0,0
20100720  14:43:00,20346.0,20353.0,20346.0,20351.0,0,7,0.0,0
20100720  14:43:30,20347.0,20348.0,20345.0,20348.0,0,7,0.0,0
20100720  14:44:00,20350.0,20355.0,20348.0,20350.0,0,14,0.0,0
20100720  14:44:30,20348.0,20355.0,20346.0,20352.0,0,11,0.0,0
20100720  14:45:00,20354.0,20354.0,20345.0,20346.0,0,18,0.0,0
20100720  14:45:30,20350.0,20350.0,20345.0,20349.0,0,17,0.0,0
20100720  14:46:00,20352.0,20352.0,20345.0,20347.0,0,7,0.0,0
20100720  14:46:30,20350.0,20350.0,20344.0,20348.0,0,5,0.0,0
20100720  14:47:00,20349.0,20352.0,20344.0,20344.0,0,9,0.0,0
20100720  14:47:30,20347.0,20349.0,20343.0,20349.0,0,5,0.0,0
20100720  14:48:00,20346.0,20349.0,20344.0,20349.0,0,12,0.0,0
20100720  14:48:30,20351.0,20351.0,20344.0,20349.0,0,8,0.0,0
20100720  14:49:00,20347.0,20348.0,20345.0,20348.0,0,4,0.0,0
20100720  14:49:30,20346.0,20348.0,20345.0,20345.0,0,6,0.0,0
20100720  14:50:00,20343.0,20351.0,20343.0,20349.0,0,9,0.0,0
20100720  14:50:30,20347.0,20350.0,20343.0,20347.0,0,9,0.0,0
20100720  14:51:00,20344.0,20344.0,20339.0,20339.0,0,5,0.0,0
20100720  14:51:30,20338.0,20343.0,20338.0,20341.0,0,4,0.0,0
20100720  14:52:00,20342.0,20345.0,20340.0,20340.0,0,7,0.0,0
20100720  14:52:30,20338.0,20343.0,20338.0,20343.0,0,3,0.0,0
20100720  14:53:00,20345.0,20345.0,20333.0,20335.0,0,15,0.0,0
20100720  14:53:30,20337.0,20337.0,20334.0,20334.0,0,3,0.0,0
